subject_id,subject_th,subject_en,category,grade_level,grade_label_th,grade_label_en,topics_th,topics_en,exam_target,priority,icon
TH-P1,ภาษาไทย,Thai Language,languages,P1,ป.1,Grade 1,"พยัญชนะ สระ วรรณยุกต์ คำพื้นฐาน อ่านออกเขียนได้","Consonants, vowels, tones, basic words, reading & writing",,high,🇹🇭
TH-P2,ภาษาไทย,Thai Language,languages,P2,ป.2,Grade 2,"คำควบกล้ำ การอ่าน การเขียนประโยคง่าย","Compound words, reading, simple sentences",,high,🇹🇭
TH-P3,ภาษาไทย,Thai Language,languages,P3,ป.3,Grade 3,"การแต่งประโยค คำคล้องจอง การเล่าเรื่อง","Sentence construction, rhymes, storytelling",,high,🇹🇭
TH-P4,ภาษาไทย,Thai Language,languages,P4,ป.4,Grade 4,"คำราชาศัพท์ ชนิดของคำ การเขียนเรียงความ","Royal vocabulary, word types, essay writing",,high,🇹🇭
TH-P5,ภาษาไทย,Thai Language,languages,P5,ป.5,Grade 5,"วรรณคดี การอ่านจับใจความ การย่อความ","Literature, reading comprehension, summarization",,high,🇹🇭
TH-P6,ภาษาไทย,Thai Language,languages,P6,ป.6,Grade 6,"การเขียนรายงาน วรรณคดีไทย เตรียม O-NET","Report writing, Thai literature, O-NET prep",O-NET,critical,🇹🇭
TH-M1,ภาษาไทย,Thai Language,languages,M1,ม.1,Grade 7,"หลักภาษา การเขียนเชิงสร้างสรรค์ วรรณคดีพื้นบ้าน","Grammar, creative writing, folk literature",,high,🇹🇭
TH-M2,ภาษาไทย,Thai Language,languages,M2,ม.2,Grade 8,"การเขียนเชิงวิชาการ ฉันท์ กลอน","Academic writing, classical Thai poetry",,high,🇹🇭
TH-M3,ภาษาไทย,Thai Language,languages,M3,ม.3,Grade 9,"วรรณคดีไทย การวิเคราะห์ เตรียม O-NET","Thai literature, analysis, O-NET prep",O-NET,critical,🇹🇭
TH-M4,ภาษาไทย,Thai Language,languages,M4,ม.4,Grade 10,"หลักภาษาขั้นสูง วรรณคดีสำคัญ","Advanced grammar, major literature",,high,🇹🇭
TH-M5,ภาษาไทย,Thai Language,languages,M5,ม.5,Grade 11,"วรรณคดีไทย การวิเคราะห์ การเขียนวิจารณ์","Thai literature, analysis, critical writing",,high,🇹🇭
TH-M6,ภาษาไทย,Thai Language,languages,M6,ม.6,Grade 12,"เตรียม TGAT/A-Level ไทย วรรณคดีสำคัญ","TGAT/A-Level Thai prep, major works",TGAT,critical,🇹🇭

MATH-P1,คณิตศาสตร์,Mathematics,math_science,P1,ป.1,Grade 1,"นับเลข บวกลบเบื้องต้น รูปทรง","Counting, basic addition/subtraction, shapes",,high,📐
MATH-P2,คณิตศาสตร์,Mathematics,math_science,P2,ป.2,Grade 2,"บวกลบในใจ คูณเบื้องต้น เวลา","Mental math, basic multiplication, time",,high,📐
MATH-P3,คณิตศาสตร์,Mathematics,math_science,P3,ป.3,Grade 3,"คูณหาร เศษส่วนเบื้องต้น การวัด","Multiplication/division, basic fractions, measurement",,high,📐
MATH-P4,คณิตศาสตร์,Mathematics,math_science,P4,ป.4,Grade 4,"เศษส่วน ทศนิยม โจทย์ปัญหา","Fractions, decimals, word problems",,high,📐
